Worker,Time,Mask,Real,Detected
A1NF6PELRKACS9,12,FALSE,Anger,Anger
A31Z5TPD8QKE26,9,FALSE,Anger,Anger
AHAF93PYUCVQ1,48,FALSE,Anger,Anger
A36QYJDZBOQ5PQ,25,FALSE,Anger,Sadness
A2RVSBEHUCNC6K,19,FALSE,Anger,Anger
A1N9A4TGE3XK3V,29,FALSE,Anger,Anger
A3P7M9666KJCP,19,FALSE,Anger,Anger
A28SFTKTGBSD9,11,FALSE,Anger,Sadness
AM9XH69KBK5X5,32,FALSE,Anger,Anger
A130P4M9JPT4YA,7,FALSE,Anger,Sadness
A3CJVRJ34U70Y9,28,FALSE,Anger,Sadness
A3GK90X2QOFR53,9,FALSE,Anger,Sadness
A2BO8M77CS3SGZ,14,FALSE,Anger,Disgust
A3KU8DC7HJOGCM,50,FALSE,Anger,Fear
A3J64XWXR1DB78,8,FALSE,Anger,Sadness
A1IXVXZ5AYYNMJ,23,FALSE,Anger,Disgust
A2CKYCHQGXUI10,13,FALSE,Anger,Sadness
AX8EX2QI5HIQQ,16,FALSE,Anger,Disgust
A2KJ983WWTEK4L,14,FALSE,Anger,Anger
A12B5MV7IHN855,6,FALSE,Anger,Disgust
A353KETOEN0W8T,32,FALSE,Anger,Disgust
A3B9OZQTE4US3T,11,FALSE,Anger,Sadness
AYJGJAIY0EXW,24,FALSE,Anger,Sadness
A37DR4QS4A5W5W,18,FALSE,Anger,Disgust
A1FPCIKO68OQ63,26,FALSE,Anger,Disgust
A3EG4C9T4F5DUR,10,FALSE,Anger,Sadness
A36H3PO6JZD414,9,FALSE,Anger,Sadness
AWTP9JNX0WK2F,26,FALSE,Anger,Disgust
AVPD36WUJKJFS,31,FALSE,Anger,Sadness
AQ53YJDPDDLZ,24,FALSE,Anger,Anger
A1E2Y158WG5FR6,8,FALSE,Anger,Disgust
A25DHXVNVC0VPW,6,FALSE,Anger,Sadness
A171VJ9J60DSJU,21,FALSE,Anger,Anger
A219VCQZADQ45W,18,FALSE,Anger,Anger
A3N5P5VO81FIJ6,17,FALSE,Anger,Anger
A27VBVMMEX9GJB,18,FALSE,Anger,Sadness
A3L3ZFL1NYFTCF,31,FALSE,Anger,Disgust
A1IU5OP7BBZHZ7,9,FALSE,Anger,Anger
A147F5PJTHOB8A,12,FALSE,Anger,Anger
AM2W23THD4CI7,16,FALSE,Anger,Sadness
A1Y0ABOUJUMCWW,14,FALSE,Anger,Anger
A2KXARDIOGJL8T,15,FALSE,Anger,Anger
A3O6XMWN8W84L5,35,FALSE,Anger,Disgust
A122E99M2DQY1G,42,FALSE,Anger,Disgust
A1NKBXOTZAI1YK,14,FALSE,Anger,Sadness
A37DR4QS4A5W5W,13,FALSE,Disgust,Disgust
A3B9OZQTE4US3T,7,FALSE,Disgust,Disgust
A147F5PJTHOB8A,11,FALSE,Disgust,Disgust
A1Y0ABOUJUMCWW,8,FALSE,Disgust,Disgust
A171VJ9J60DSJU,14,FALSE,Disgust,Disgust
A2RVSBEHUCNC6K,32,FALSE,Disgust,Disgust
A2CKYCHQGXUI10,19,FALSE,Disgust,Disgust
A3UIVQJXY62XU8,9,FALSE,Disgust,Disgust
A3KU8DC7HJOGCM,12,FALSE,Disgust,Disgust
A12B5MV7IHN855,5,FALSE,Disgust,Disgust
A3J64XWXR1DB78,6,FALSE,Disgust,Disgust
